Name,Speed,Module,First Word Latency,CAS Latency,Price Per GB,Color,Rating,Review Count,Price
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$13.812,Gray,4.5,75,$441.99
Kingston FURY Beast 32 GB,DDR5-5600,2 x 16GB,12.857 ns,36,$19.933,Black,4.5,10,$637.84
Kingston Server Premier 32 GB,DDR4-3200,1 x 32GB,13.75 ns,22,$11.287,,0,0,$361.17
Kingston FURY Beast 64 GB,DDR5-6000,2 x 32GB,10 ns,30,$18.342,Black,4.5,7,$1173.91
Crucial CT2K16G56C46U5 32 GB,DDR5-5600,2 x 16GB,16.429 ns,46,$12.500,Black,5,1,$399.99
Kingston FURY Beast 8 GB,DDR4-3200,1 x 8GB,10 ns,16,$9.000,Black,0,0,$72.00
G.Skill Ripjaws S5 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$10.812,Black,4.5,28,$345.99
TEAMGROUP T-Force Vulcan 32 GB,DDR5-6000,2 x 16GB,10 ns,30,,Black,4.5,31,0
Corsair Vengeance LPX 16 GB,DDR4-3000,2 x 8GB,10.667 ns,16,$6.062,Black,4.5,24,$96.99
Klevv FIT V 32 GB,DDR5-6000,2 x 16GB,10.667 ns,32,$11.250,White,5,3,$359.99
Corsair Vengeance RGB 192 GB,DDR5-5200,4 x 48GB,14.615 ns,38,$11.588,Black,0,0,$2224.99
Corsair Vengeance 128 GB,DDR5-6400,2 x 64GB,13.125 ns,42,$11.594,Black,0,0,$1483.99
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$13.812,White,4.5,5,$441.99
Patriot Viper Venom 16 GB,DDR5-6000,1 x 16GB,10 ns,30,$10.937,Black / White,5,1,$174.99
Corsair Vengeance LPX 32 GB,DDR4-3000,2 x 16GB,10.667 ns,16,$5.468,Black,4.5,7,$174.99
Corsair Dominator Titanium 64 GB,DDR5-6600,2 x 32GB,9.697 ns,32,$14.922,White,4.5,5,$954.99
G.Skill Trident Z5 RGB 32 GB,DDR5-6400,2 x 16GB,10 ns,32,$15.000,Black,4.5,42,$479.99
G.Skill Trident Z5 RGB 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$12.500,Black,4.5,52,$399.99
Corsair Vengeance LPX 32 GB,DDR4-3600,2 x 16GB,10 ns,18,$6.468,Black / Yellow,4.5,107,$206.99
Corsair Vengeance RGB 32 GB,DDR5-6400,2 x 16GB,11.25 ns,36,$12.750,Black,4.5,14,$407.99
Corsair Vengeance RGB Pro 32 GB,DDR4-3200,2 x 16GB,10 ns,16,$5.906,White,4.5,8,$188.99
Kingston Server Premier 32 GB,DDR4-3200,1 x 32GB,13.75 ns,22,$10.749,,0,0,$343.98
Patriot Viper Venom 16 GB,DDR5-5600,2 x 8GB,14.286 ns,40,$16.155,Black / White,5,1,$258.48
